,subj_idx,response,split_by,rt,trial,feedback,samp
150,42,1.0,2,1.2526098489761353,31,0.0,1
151,42,0.0,2,1.753623127937317,32,1.0,1
152,42,1.0,2,1.0756120681762695,33,1.0,1
153,42,1.0,2,0.7336164712905884,34,0.0,1
154,42,0.0,2,0.7186166644096375,35,0.0,1
155,42,0.0,2,0.9576135873794556,36,1.0,1
156,42,1.0,2,0.7456163167953491,37,0.0,1
157,42,0.0,2,0.6866170763969421,38,0.0,1
158,42,0.0,2,1.3266088962554932,39,1.0,1
159,42,0.0,2,1.1816107034683228,40,0.0,1
160,42,1.0,2,0.5396170020103455,41,1.0,1
161,42,0.0,2,1.401607871055603,42,0.0,1
162,42,0.0,2,1.422607660293579,43,0.0,1
163,42,1.0,2,0.9306139945983887,44,1.0,1
164,42,1.0,2,0.878614604473114,45,0.0,1
165,42,0.0,2,0.5596170425415039,46,0.0,1
166,42,1.0,2,0.8946143984794617,47,0.0,1
167,42,1.0,2,1.0596122741699219,48,0.0,1
168,42,0.0,2,0.522616982460022,49,0.0,1
169,42,0.0,2,0.7556161880493164,50,1.0,1
170,42,0.0,2,0.8856145143508911,51,0.0,1
171,42,1.0,2,0.8336151838302612,52,1.0,1
172,42,1.0,2,1.1346113681793213,53,0.0,1
173,42,1.0,2,4.058535575866699,54,1.0,1
174,42,1.0,2,1.5386130809783936,55,0.0,1
175,42,0.0,2,0.7766159176826477,56,0.0,1
176,42,1.0,2,0.9736133813858032,57,1.0,1
177,42,1.0,2,0.8186153769493103,58,1.0,1
178,42,1.0,2,0.9776133298873901,59,1.0,1
179,42,1.0,2,1.2246102094650269,60,1.0,1
180,50,0.0,0,0.9218779802322388,1,0.0,1
181,50,1.0,0,1.332872748374939,2,1.0,1
182,50,1.0,0,0.8868784308433533,3,1.0,1
183,50,0.0,0,2.4139134883880615,4,0.0,1
184,50,0.0,0,0.9488776326179504,5,0.0,1
185,50,0.0,0,2.9688830375671387,6,0.0,1
186,50,1.0,0,1.4178715944290161,7,0.0,1
187,50,0.0,0,1.0098768472671509,8,0.0,1
188,50,1.0,0,1.4708709716796875,9,1.0,1
189,50,1.0,0,0.758880078792572,10,1.0,1
190,50,1.0,0,1.8008848428726196,11,1.0,1
191,50,0.0,0,0.6458800435066223,12,0.0,1
192,50,0.0,0,0.9388777613639832,13,0.0,1
193,50,0.0,0,1.8348864316940308,14,0.0,1
194,50,0.0,0,0.701880156993866,15,0.0,1
195,50,0.0,0,1.4148716926574707,16,0.0,1
196,50,1.0,0,0.7058801651000977,17,0.0,1
197,50,1.0,0,0.9088781476020813,18,1.0,1
198,50,0.0,0,1.8188856840133667,19,0.0,1
199,50,1.0,0,0.8828784823417664,20,1.0,1
200,50,0.0,0,1.100875735282898,21,0.0,1
201,50,0.0,0,0.5898799300193787,22,0.0,1
202,50,1.0,0,0.8158793449401855,23,1.0,1
203,50,1.0,0,1.0958757400512695,24,1.0,1
204,50,1.0,0,1.000877022743225,25,1.0,1
205,50,1.0,0,0.652880072593689,26,0.0,1
206,50,0.0,0,1.3868720531463623,27,0.0,1
207,50,1.0,0,1.1698747873306274,28,1.0,1
208,50,1.0,0,0.8368790745735168,29,1.0,1
209,50,1.0,0,0.6718800663948059,30,1.0,1
210,50,0.0,0,1.0948758125305176,31,1.0,1
211,50,1.0,0,1.0448764562606812,32,1.0,1
212,50,1.0,0,1.2008744478225708,33,1.0,1
213,50,1.0,0,0.5688798427581787,34,1.0,1
214,50,0.0,0,0.839879035949707,35,0.0,1
215,50,0.0,0,0.9718773365020752,36,1.0,1
216,50,1.0,0,1.5418727397918701,37,0.0,1
217,50,1.0,0,1.1518750190734863,38,1.0,1
218,50,1.0,0,0.747880220413208,39,1.0,1
219,50,0.0,0,1.023876667022705,40,0.0,1
220,50,1.0,0,0.7158801555633545,41,1.0,1
221,50,1.0,0,0.6818801164627075,42,1.0,1
222,50,1.0,0,0.6938801407814026,43,1.0,1
223,50,1.0,0,1.1138755083084106,44,1.0,1
